Ticker,Company,Volatility
ADANIGREEN,ADANI ENTERPRISES,0.028549950162705645
ADANIPORTS,ADANI PORTS & SEZ,0.025982759158871684
AIRTEL,BHARTI AIRTEL,0.013600912514068392
APOLLOHOSP,APOLLO HOSPITALS,0.014109751493921076
ASIANPAINT,ASIAN PAINTS,0.012642371872760932
AXISBANK,AXIS BANK,0.015597357416677839
BAJAJ-AUTO,BAJAJ AUTO,0.017578811441300184
BAJAJFINSV,BAJAJ FINSERV,0.014092888709394692
BAJFINANCE,BAJAJ FINANCE,0.015890372462375024
BEL,BHARAT ELECTRONICS,0.02324279716085349
BPCL,BPCL,0.022030167339003787
CIPLA,CIPLA,0.016303629759770184
COALINDIA,COAL INDIA,0.021373763638369882
DRREDDY,DR. REDDYS LAB,0.012468042245213548
EICHERMOT,EICHER MOTORS,0.01607068737977335
GRASIM,GRASIM,0.01443970584208844
HCLTECH,HCL TECHNOLOGIES,0.01426969306202186
HDFCBANK,HDFC BANK,0.013465994174902548
HDFCLIFE,HDFC LIFE INSURANCE,0.014604225365806125
HEROMOTOCO,HERO MOTOCORP,0.016534284180732935
HINDALCO,HINDALCO,0.019552347113127536
HINDUNILVR,HINDUSTAN UNILEVER,0.012052545163133163
ICICIBANK,ICICI BANK,0.012766469870908436
INDUSINDBK,INDUSIND BANK,0.01907750803606342
INFY,INFOSYS,0.014466434343452501
ITC,ITC,0.011922598979243195
JSWSTEEL,JSW STEEL,0.016355062344559714
KOTAKBANK,KOTAK MAHINDRA BANK,0.014190529308900298
LT,L&T,0.016933958226010626
M&M,M&M,0.01917940122461307
MARUTI,MARUTI SUZUKI,0.013688259318777271
NESTLEIND,NESTLE,0.8277653365398454
NTPC,NTPC,0.01944082338672979
ONGC,ONGC,0.022208097153329418
POWERGRID,POWER GRID,0.018638813322333206
RELIANCE,RELIANCE IND.,0.013538105671511648
SBILIFE,SBI LIFE INSURANCE,0.015086745297505253
SBIN,SBI,0.01790777131236892
SHRIRAMFIN,SHRIRAM FINANCE,0.021648530146180768
SUNPHARMA,SUN PHARMA,0.011712494436540278
TATACONSUMER,TATA CONSUMER,0.014778616555725096
TATAMOTORS,TATA MOTORS,0.017844995634853155
TATASTEEL,TATA STEEL,0.018199428780400193
TCS,TCS,0.013138573078237216
TECHM,TECH MAHINDRA,0.015991758668570815
TITAN,TITAN,0.014110902005703764
TRENT,TRENT,0.023034481828313767
ULTRACEMCO,ULTRATECH CEMENT,0.014289465074201153
WIPRO,WIPRO,0.017437185476156875
